ID_ereuniti,Onoma_ereuniti,Epitheto_ereuniti,Fyllo_ereuniti,Hmerominia_gennisis_ereuniti,Hlikia_ereuniti,Hmerominia_ypallikis_sxesis,ID_organismou
1,Maria,Aggelopoulou,Female,14-11-98,24,14-02-22,1
2,Darcy,Laflin,Female,21-11-99,41,01-07-21,2
3,Giustina,Cluelow,Female,11-08-77,54,14-04-19,3
4,Caro,Tearle,Female,15-07-84,29,16-11-19,4
5,Ferdie,Hyland,Male,25-10-69,28,11-03-13,5
6,Alfred,Kelberman,Male,15-10-93,33,04-09-12,6
7,Grant,Pallin,Male,17-06-80,33,16-06-15,7
8,Curcio,Swyne,Male,24-06-80,39,07-03-15,8
9,Leone,Wontner,Female,16-08-71,47,16-09-11,9
10,Cariotta,Debrick,Female,24-05-98,41,19-02-14,10
11,Clara,Kornilov,Female,27-04-67,59,30-03-13,11
12,Diannne,Woodhead,Female,13-07-65,21,09-08-15,12
13,Celestyn,Braidwood,Female,05-06-92,40,28-10-13,13
14,Beryl,Hain,Female,07-01-97,45,22-10-11,14
15,Bartholemy,Twinbrow,Non-binary,26-11-79,30,29-04-14,15
16,Gaynor,Taunton.,Female,13-04-76,43,28-04-21,16
17,Patricia,Lettson,Female,24-01-65,56,04-12-17,17
18,Andrea,Lovat,Male,01-10-00,54,27-12-12,18
19,Seward,Guyonneau,Male,05-06-77,57,18-12-14,19
20,Doralin,Helsdon,Female,23-01-77,47,01-08-11,20
21,Gilbertine,Harman,Female,24-05-64,28,21-03-16,21
22,Sloane,Sherland,Male,07-08-00,26,27-02-12,22
23,Wald,Rooksby,Male,11-12-70,30,09-08-20,23
24,Brook,McKevin,Male,30-07-68,66,14-11-11,24
25,Lind,Costanza,Male,03-03-86,24,31-01-22,25
26,Maria,Griss,Female,05-08-60,41,18-03-12,26
27,Rafaello,Britner,Male,15-08-76,63,18-06-21,27
28,Terry,Bargery,Male,01-09-73,18,13-05-19,28
29,Lindsay,MacNeil,Female,26-05-70,55,01-02-20,29
30,Dagny,Tidy,Bigender,13-04-73,56,14-01-21,30
31,Marty,Woodburne,Male,14-05-82,56,14-01-15,31
32,Ethelda,Alp,Female,26-10-70,57,14-11-10,32
33,Brenna,Cocke,Female,29-09-88,56,21-11-14,33
34,Myrtice,Hymor,Female,09-07-62,46,12-08-15,34
35,Sergeant,Alesi,Male,21-12-75,45,05-02-15,35
36,Rubetta,Belvin,Female,25-05-78,52,24-11-16,36
37,Estel,MacDowall,Female,20-11-88,19,12-07-20,37
38,Clarey,Sifleet,Female,08-10-78,67,04-10-21,38
39,Magda,Callinan,Female,31-08-72,51,04-08-19,39
40,Evita,Ilewicz,Bigender,27-05-71,63,05-08-13,40
41,Noami,Newlove,Female,04-04-70,66,21-02-14,1
42,Ilyssa,Esom,Agender,02-03-90,24,12-06-14,2
43,Blakeley,Hayley,Female,25-11-62,56,29-06-21,3
44,Ardra,Gumbley,Non-binary,03-02-81,51,01-12-11,4
45,Dodie,Skegg,Female,20-01-76,27,13-02-17,5
